NFLID,Short_Name,Full_Name,Date_of_Birth,Height,Weight,College,Years_Pro,Jersey_Number
00-0031310,D.Street,Devin Street,3/30/1991,75,200,Pittsburgh,3,15
00-0019724,M.Roman,Mark Roman,3/26/1977,71,205,LSU,10,
00-0025340,C.Kobel,Craig Kobel,1/26/1982,74,265,South Florida,1,
00-0028478,J.Stokes,John Stokes,2/1/1988,77,235,Vanderbilt,1,
00-0028479,D.Dobbs,Demarcus Dobbs,11/30/1987,74,282,Georgia,5,95
00-0028477,O.Spencer,Owen Spencer,11/2/1987,75,185,North Carolina State,2,
00-0028475,J.Kirkendoll,James Kirkendoll,8/14/1989,70,186,Texas,2,
00-0020199,B.Russell,Brian Russell,2/5/1978,74,210,San Diego State,8,
00-0028473,J.Hartsell,Julian Hartsell,3/8/1988,75,291,Catawba,1,
00-0024834,D.Roberson,Derrick Roberson,3/12/1985,70,180,Rutgers,3,
00-0020449,M.Greenwood,Morlon Greenwood,7/17/1978,72,241,Syracuse,9,
00-0020446,C.Chambers,Chris Chambers,8/12/1978,71,210,Wisconsin,10,
00-0020445,D.Raiola,Dominic Raiola,12/30/1978,73,310,Nebraska,14,51
00-0020444,J.Backus,Jeff Backus,9/21/1977,77,305,Michigan,12,
00-0020442,R.Seymour,Richard Seymour,10/6/1979,78,317,Georgia,12,
00-0028692,C.Gettis,Carl Gettis,12/20/1988,71,199,Missouri,1,
00-0028690,,Jarrod Shaw,1/7/1988,76,315,Tennessee,2,74
00-0028691,K.Smith,Kendall Smith,12/3/1987,72,235,Florida State,1,
00-0028696,S.Tarver,Sidney Tarver,6/2/1989,75,236,Tennessee State,1,
00-0028694,J.Dockery,James Dockery,11/9/1988,73,185,Oregon State,5,41
00-0028695,Bri.Smith,Brian Smith,1/8/1989,75,240,Notre Dame,1,
00-0028698,B.Jacobs,Ben Jacobs,4/17/1988,76,240,Fresno State,4,53
00-0029123,M.King,Marquette King,10/26/1988,72,195,Fort Valley State,5,7
00-0023186,L.Torrence,Leigh Torrence,1/4/1982,71,179,Stanford,8,
00-0029121,D.Hamilton,Dominique Hamilton,1/18/1989,77,315,Missouri,1,79
00-0029120,B.Carswell,Brandon Carswell,5/22/1989,73,201,USC,1,13
00-0029127,L.Nix,Lucas Nix,9/28/1989,77,325,Pittsburgh,3,76
00-0029126,T.Mayo,Thomas Mayo,2/13/1990,74,205,California (PA),1,
00-0023180,H.Dahl,Harvey Dahl,6/24/1981,77,306,Nevada,7,62
00-0029129,R.Streater,Rod Streater,2/9/1988,74,195,Temple,3,10
00-0029128,C.Powell,Chaz Powell,1/1/1988,72,203,Penn State,1,0
00-0027877,D.Williams,Dan Williams,6/1/1987,74,330,Tennessee,7,90
00-0027876,T.Tebow,Tim Tebow,8/14/1987,75,245,Florida,4,11
00-0027875,B.Bulaga,Bryan Bulaga,3/21/1989,77,314,Iowa,7,75
00-0027874,D.Thomas,Demaryius Thomas,12/25/1987,75,229,Georgia Tech,7,88
00-0027873,J.Gresham,Jermaine Gresham,6/16/1988,77,260,Oklahoma,7,84
00-0027872,K.Jackson,Kareem Jackson,4/10/1988,70,188,Alabama,7,25
00-0027871,S.Weatherspoon,Sean Weatherspoon,12/29/1987,74,244,Missouri,6,56
00-0027870,M.Pouncey,Maurkice Pouncey,7/24/1989,76,304,Florida,7,53
00-0027879,K.Wilson,Kyle Wilson,9/8/1987,70,190,Boise State,7,24
00-0027878,J.Odrick,Jared Odrick,12/31/1987,77,305,Penn State,6,75
00-0026698,L.Beavers,Larry Beavers,10/7/1985,70,186,Wesleyan,2,
00-0026699,K.Brock,Kevin Brock,4/9/1986,77,264,Rutgers,3,85
00-0026691,C.Williams,Chris Williams,9/16/1987,68,175,New Mexico State,1,82
00-0026693,P.Morris,Phillip Morris,7/2/1986,75,175,South Carolina State,0,
00-0026695,D.Hendricks,Dwayne Hendricks,3/17/1986,75,305,Miami (Fla.),3,
00-0026696,S.Rashad,Sha'reff Rashad,10/6/1986,72,198,Central Florida,2,
00-0026697,B.Anderson,Brandon Anderson,12/10/1985,70,179,Akron,2,
00-0022369,H.Whittaker,Huey Whittaker,6/19/1981,76,234,South Florida,1,
00-0021314,C.Taylor,Chester Taylor,9/22/1979,71,213,Toledo,10,
00-0026475,M.Fountain,Maurice Fountain,9/22/1982,76,270,Clemson,2,
00-0032740,,Lawrence Thomas,4/16/1993,75,286,Michigan State,0,97
00-0026472,C.Hawthorne,C.J. Hawthorne,12/15/1983,71,168,Hawaii,1,
00-0027253,T.Lewis,Thad Lewis,11/19/1987,74,219,Duke,4,9
00-0027252,S.Lawrence,Simoni Lawrence,2/1/1989,73,221,Minnesota,1,0
00-0027250,C.Jackson,Cardia Jackson,10/13/1988,73,236,Louisiana-Monroe,2,
00-0027257,K.Toston,Keith Toston,5/6/1987,71,214,Oklahoma State,3,
00-0027256,D.Stewart,Darian Stewart,8/4/1988,71,214,South Carolina,7,26
00-0027255,R.Owens,Rod Owens,1/28/1987,72,183,Florida State,1,
00-0027254,B.McRae,Brandon McRae,3/5/1986,75,208,Mississippi State,1,
00-0027259,J.Ballard,Jake Ballard,12/21/1987,78,275,Ohio State,4,86
00-0030326,,Kenny Okoro,10/18/1989,73,190,Wake Forest,1,40
00-0030325,B.Moore,Brandon Moore,3/7/1991,77,320,Texas,,
00-0030324,D.Molls,Dan Molls,2/12/1991,72,238,Toledo,1,45
00-0030323,J.McFarland,Jamarkus McFarland,11/26/1990,74,305,Oklahoma,,
00-0030322,Josh Johnson,Josh Johnson,9/10/1990,70,199,Purdue,,
00-0030321,B.Jerideau,Byron Jerideau,5/28/1989,73,334,South Carolina,0,68
00-0030320,M.Hill,Michael Hill,8/14/1989,70,210,Missouri Western State,2,34
00-0030329,L.Tasker,Luke Tasker,1/18/1991,71,191,Cornell,,
00-0030328,D.Rolf,David Rolf,4/16/1990,75,257,Utah,,
00-0001157,M.Berger,Mitch Berger,6/24/1972,76,228,Colorado,16,
00-0022755,J.Scott,Jake Scott,4/16/1981,77,292,Idaho,9,
00-0022754,S.Parker,Samie Parker,3/25/1981,71,185,Oregon,6,
00-0022750,D.Edwards,Dwan Edwards,5/16/1981,75,305,Oregon State,12,92
00-0022753,T.Hargrove,Anthony Hargrove,7/20/1983,75,282,Georgia Tech,8,
00-0031188,,Bennett Jackson,9/16/1991,72,192,Notre Dame,2,24
00-0031189,,T.J. Jones,7/19/1992,72,190,Notre Dame,2,13
00-0031184,,Jimmy Staten,5/4/1991,75,311,Middle Tennessee State,1,94
00-0031185,,Jon Halapio,6/23/1991,74,320,Florida,1,65
00-0031186,,Kenneth Acker,2/6/1992,72,195,Southern Methodist,3,20
00-0031187,R.Herron,Robert Herron,6/2/1992,69,193,Wyoming,2,10
00-0031180,,Kadeem Edwards,1/24/1991,76,313,Tennessee State,2,73
00-0031181,R.Allen,Ricardo Allen,12/18/1991,69,186,Purdue,2,37
00-0031182,,Kevin Pamphile,11/27/1990,77,310,Purdue,3,64
00-0031183,,Marquis Spruill,5/14/1991,72,224,Syracuse,2,51
00-0031456,,Nu'Keese Richardson,//,70,160,Pikeville,0,3
00-0031457,,Jeremy Towns,3/9/1989,76,290,Samford,1,90
00-0031454,,Adam Gress,12/28/1990,79,300,Penn State,0,68
00-0031455,Ja.Campbell,Jairus Campbell,5/20/1991,77,296,Bowling Green State,0,60
00-0031452,K.Redding,Kris Redding,2/8/1991,76,275,Wake Forest,0,61
00-0031453,,Theo Agnew,10/10/1991,76,280,Georgia State,0,74
00-0023404,A.Bigby,Atari Bigby,9/19/1981,71,211,Central Florida,8,
00-0023405,A.Elam,Abram Elam,10/15/1981,72,212,Kent State,7,
00-0023408,G.Camarillo,Greg Camarillo,4/18/1982,74,200,Stanford,7,
00-0031458,,Mark Joyce,//,70,190,South Florida,0,45
00-0031459,,Glenn Winston,4/29/1989,74,220,Northwood,3,28
00-0032246,,Andrew Donnal,3/3/1992,78,316,Iowa,0,64
00-0032247,,Cody Wichmann,3/2/1992,77,319,Fresno State,0,69
00-0032244,,Jamon Brown,3/15/1993,76,323,Louisville,0,68
00-0032245,,Sean Mannion,4/25/1992,78,233,Oregon State,0,14
00-0032242,,Rob Havenstein,5/13/1992,79,321,Wisconsin,0,79
00-0032243,,Ali Marpet,4/17/1993,76,307,Hobart,2,74
00-0032240,,Vic Beasley,7/8/1992,75,246,Clemson,2,44
00-0032241,,Todd Gurley,8/3/1994,73,227,Georgia,0,30
00-0022199,J.Horton,Jason Horton,2/16/1980,72,190,North Carolina A&T;,4,
00-0032248,,Bryce Hager,5/4/1992,73,235,Baylor,0,54
00-0032249,,Martin Ifedi,9/4/1991,75,275,Memphis,1,96
00-0031538,,Corey Crawford,12/1/1991,77,298,Clemson,1,95
00-0031534,,La'el Collins,7/26/1993,76,315,Louisiana State University - Shreveport,2,71
00-0031537,,Dylan Wynn,6/1/1993,74,283,Oregon State,1,97
00-0031536,,Darrian Miller,4/8/1993,77,307,Kentucky,0,64
00-0031531,,Trey Williams,12/11/1992,67,200,Texas A&M,2,40
00-0031533,,Randall Telfer,5/16/1992,76,250,USC,1,86
00-0030998,K.Wenning,Keith Wenning,2/14/1991,75,225,Ball State,1,3
00-0028861,L.Brown,LaMark Brown,7/5/1989,76,221,Minnesota State-Mankato,1,
00-0028860,M.Regis,Micanor Regis,11/3/1989,75,330,Miami (Fla.),1,72
00-0028863,Dom.Davis,Dominique Davis,7/17/1989,75,210,East Carolina,3,5
00-0030049,C.Gragg,Chris Gragg,6/30/1990,75,244,Arkansas,4,89
00-0028865,L.Nzegwu,Louis Nzegwu,5/15/1989,76,260,Wisconsin,1,
00-0028866,P.Manley,Phillipkeith Manley,5/7/1990,77,309,Toledo,2,0
00-0028869,N.Keller,Noah Keller,12/5/1988,73,242,Ohio U.,0,
00-0028868,D.Peterson,Deangelo Peterson,1/11/1989,76,235,LSU,1,
00-0022119,T.Polamalu,Troy Polamalu,4/19/1981,70,207,USC,13,43
00-0022112,G.Hamdan,Gibran Hamdan,2/8/1981,76,220,Indiana,5,
00-0022117,J.Gross,Jordan Gross,7/20/1980,76,305,Utah,11,69
00-0021126,K.Amato,Ken Amato,5/18/1977,74,240,Montana State,9,
00-0030662,,Kenny Shaw,1/15/1992,71,180,Florida State,0,4
00-0030663,W.Snead,Willie Snead,10/17/1992,71,195,Ball State,2,83
00-0030660,M.Philipp,Michael Philipp,9/7/1991,76,328,Oregon State,0,61
00-0030661,,Connor Shaw,9/19/1991,73,210,South Carolina,2,8
00-0030666,D.Surgent,Darryl Surgent,5/13/1992,72,195,Louisiana-Lafayette,0,14
00-0030915,B.Chancellor,Brelan Chancellor,8/6/1992,68,188,North Texas,0,0
00-0030916,A.Darby,Alden Darby,6/22/1992,70,192,Arizona State,1,42
00-0030665,D.Sorensen,Daniel Sorensen,3/5/1990,74,208,Brigham Young,3,49
00-0030918,M.Flacco,Mike Flacco,1/17/1987,77,251,New Haven,0,46
00-0030919,,Micah Hatfield,8/10/1989,73,182,Oregon State,0,7
00-0030668,C.West,Charcandrick West,6/2/1991,70,205,Abilene Christian,3,35
00-0030669,A.Wilson,Albert Wilson,7/12/1992,69,200,Georgia State,3,12
00-0028702,C.Matthews,Chris Matthews,10/6/1989,77,228,Kentucky,3,84
00-0028257,C.Adingupu,Chris Adingupu,11/20/1987,72,202,Prairie View A&M;,1,
00-0028706,A.Smith,Armond Smith,5/7/1986,69,195,Union College (KY),2,
00-0028255,A.West,Anthony West,3/29/1988,72,205,Nebraska,1,
00-0019559,C.Pennington,Chad Pennington,6/26/1976,75,225,Marshall,11,
00-0009305,T.Kirschke,Travis Kirschke,9/6/1974,75,298,UCLA,13,
00-0029809,R.Rasner,Ross Rasner,4/18/1991,72,208,Arkansas,,
00-0029800,K.Bateman,Kemonte' Bateman,2/22/1990,73,185,New Mexico State,,
00-0029802,,Manase Foketi,9/18/1990,77,310,West Texas A&M,1,69
00-0029803,R.Fuga,Romney Fuga,5/25/1988,74,318,Brigham Young,,
00-0029804,A.Hester,Aaron Hester,3/1/1990,73,207,UCLA,1,44
00-0029806,U.Kaveinga,Uona Kaveinga,2/2/1990,71,235,Brigham Young,,
00-0029807,J.Youboty,John Youboty,2/25/1990,76,258,Temple,2,0
00-0032408,,Blake Martinez,1/9/1994,74,237,Stanford,0,50
00-0032409,,Willie Henry,3/20/1994,75,300,Michigan,0,69
00-0027409,A.Daniels,Alex Daniels,11/27/1986,76,276,Cincinnati,2,
00-0032404,,Tyler Ervin,10/7/1993,70,192,San Jose State,0,34
00-0027407,S.Ware,Sean Ware,1/31/1987,74,237,New Hampshire,2,
00-0032406,,Antonio Morrison,12/6/1994,73,232,Florida,0,44
00-0027405,A.Pettrey,Aaron Pettrey,6/17/1986,74,199,Ohio State,1,
00-0027402,A.Neblett,Andre Neblett,6/7/1988,72,310,Temple,4,
00-0032401,,De'Vondre Campbell,7/1/1993,75,234,Minnesota,0,59
00-0032402,,Hassan Ridgeway,11/2/1994,75,317,Texas,0,91
00-0027401,R.Jackson,Rashawn Jackson,1/15/1987,73,240,Virginia,3,
00-0025668,M.Adams,Michael Adams,6/17/1985,68,181,Louisiana-Lafayette,7,21
00-0019586,J.Ulbrich,Jeff Ulbrich,2/17/1977,72,240,Hawaii,10,
00-0028073,R.Stanzi,Ricky Stanzi,9/3/1987,76,228,Iowa,5,2
00-0025660,B.Goode,Brett Goode,11/2/1984,73,255,Arkansas,8,61
00-0025667,P.Togafau,Pago Togafau,1/10/1984,71,240,Idaho State,5,
00-0026319,X.Omon,Xavier Omon,2/15/1985,71,227,Northwest Missouri State,3,
00-0025931,K.Dykes,Keilen Dykes,9/6/1984,75,305,West Virginia,3,
00-0025932,A.Highsmith,Ali Highsmith,1/20/1985,73,230,LSU,2,
00-0025933,D.Keyes,Dennis Keyes,3/26/1985,74,203,UCLA,2,
00-0025934,L.Long,Lance Long,5/4/1985,71,186,Mississippi State,5,
00-0025935,C.Medder,Carlton Medder,12/1/1984,77,315,Florida,2,
00-0027371,B.Turner,Barry Turner,1/7/1987,75,265,Nebraska,1,
00-0026311,M.Henry,Marcus Henry,2/21/1986,76,212,Kansas,2,
00-0026310,B.Richardson,Barry Richardson,5/15/1986,78,319,Clemson,6,
00-0026313,D.Barber,Dominique Barber,8/2/1986,72,210,Minnesota,4,
00-0026312,T.Brown,Thomas Brown,5/15/1986,68,203,Georgia,2,
00-0026315,G.Hayes,Geno Hayes,8/10/1987,73,226,Florida State,7,55
00-0026314,J.Morgan,Josh Morgan,6/20/1985,72,219,Virginia Tech,8,17
00-0026317,C.Lynch,Corey Lynch,5/7/1985,72,210,Appalachian State,7,42
00-0026316,J.Parmele,Jalen Parmele,12/30/1985,71,225,Toledo,4,0
00-0023790,B.Clark,Brian Clark,12/26/1983,74,204,North Carolina State,5,
00-0033071,,Marquise Williams,10/5/1992,74,220,North Carolina,0,9
00-0023797,D.Johnson,Darcy Johnson,2/11/1983,77,252,Central Florida,5,
00-0032743,,Kivon Cartwright,3/3/1992,76,245,Colorado State,0,46
00-0027374,M.Balogun,Mike Balogun,9/28/1983,72,240,Oklahoma,3,
00-0032741,,Peyton Barber,2/27/1994,71,225,Auburn,0,43
00-0028075,B.Skrine,Buster Skrine,4/26/1989,69,185,Tennessee-Chattanooga,6,41
00-0032747,,Russell Hansbrough,11/19/1993,69,195,Missouri,0,44
00-0032746,,Taylor Fallin,11/2/1992,78,330,Memphis,0,65
00-0032745,,Alan Cross,5/2/1993,73,235,Memphis,0,45
00-0027375,T.Brock,Tramaine Brock,8/20/1988,70,197,Belhaven College,7,26
00-0027376,J.Brown,Jarrett Brown,9/21/1987,75,225,West Virginia,2,
00-0007681,T.Holt,Torry Holt,6/5/1976,72,200,North Carolina State,12,
00-0033078,,Keenan Reynolds,12/13/1993,70,190,Navy,0,81
00-0033079,,Ricardo Louis,3/23/1994,74,215,Auburn,0,80
00-0026924,H.Johnson,Herman Johnson,1/29/1985,79,360,LSU,2,
00-0032977,,Rashard Higgins,10/7/1994,73,198,Colorado State,0,81
00-0021257,A.Davis,Andra Davis,12/23/1978,73,255,Florida,10,
00-0030980,,Emmanuel McCray,1/1/1991,77,316,Mississippi,0,62
00-0021250,R.Boiman,Rocky Boiman,1/24/1980,76,236,Notre Dame,9,
00-0024223,D.Whitner,Donte Whitner,7/24/1985,70,208,Ohio State,10,31
00-0024222,M.Huff,Michael Huff,3/6/1983,72,211,Texas,8,29
00-0024221,V.Davis,Vernon Davis,1/31/1984,75,248,Maryland,11,85
00-0024220,A.Hawk,A.J. Hawk,1/6/1984,73,240,Ohio State,10,50
00-0024227,H.Ngata,Haloti Ngata,1/21/1984,76,345,Oregon,11,92
00-0024226,J.Cutler,Jay Cutler,4/29/1983,75,231,Vanderbilt,11,6
00-0024225,M.Leinart,Matt Leinart,5/11/1983,77,225,USC,6,
00-0024224,E.Sims,Ernie Sims,12/23/1984,72,233,Florida State,9,52
00-0021259,S.Fujita,Scott Fujita,4/28/1979,77,250,California,11,
00-0024229,B.Bunkley,Brodrick Bunkley,11/23/1983,74,306,Florida State,10,77
00-0024228,K.Wimbley,Kamerion Wimbley,10/13/1983,76,258,Florida State,10,95
00-0023894,D.Penn,Donald Penn,4/27/1983,76,315,Utah State,11,72
00-0023890,J.Hunter,Jason Hunter,8/28/1983,76,270,Appalachian State,7,93
00-0023893,J.Mitchell,Jayme Mitchell,3/15/1984,78,285,Mississippi,6,
00-0021493,V.Ciurciu,Vinny Ciurciu,5/2/1980,72,240,Boston College,8,
00-0021490,T.Brown,Tony Brown,9/29/1980,75,305,Memphis,7,
00-0021941,G.Hayes,Gerald Hayes,10/10/1980,73,250,Pittsburgh,9,
00-0021940,J.Brown,Josh Brown,4/29/1979,72,202,Nebraska,14,3
00-0021943,F.Walker,Frank Walker,8/6/1981,71,200,Tuskegee,9,
00-0024326,D.Williams,Demetrius Williams,3/28/1983,74,202,Oregon,7,
00-0024327,I.Sowells,Isaac Sowells,5/4/1982,75,315,Indiana,6,
00-0024324,J.Avant,Jason Avant,4/20/1983,72,210,Michigan,10,81
00-0024325,L.Williams,Leon Williams,7/30/1983,75,248,Miami (Fla.),6,
00-0021949,C.Johnson,Chris Johnson,9/25/1979,73,200,Louisville,10,
00-0024323,J.Evans,Jahri Evans,8/22/1983,76,318,Bloomsburg,11,73
00-0024320,K.Simpson,Ko Simpson,11/9/1983,73,202,South Carolina,5,
00-0024321,G.Mills,Garrett Mills,10/12/1983,73,235,Tulsa,6,
00-0022949,S.Baggs,Stevie Baggs,12/30/1981,73,240,Bethune-Cookman,2,
00-0022942,P.Rivers,Philip Rivers,12/8/1981,77,228,North Carolina State,13,17
00-0022943,B.Watson,Benjamin Watson,12/18/1980,75,251,Georgia,13,82
00-0022944,B.Sanders,Bob Sanders,2/24/1981,68,206,Iowa,8,
00-0009687,T.Law,Ty Law,2/10/1974,71,200,Michigan,15,
00-0029211,J.McMillian,Jerron McMillian,4/2/1989,71,203,Maine,3,34
00-0029328,T.Parks,Terrance Parks,4/14/1990,74,218,Florida State,1,27
00-0032265,,Mario Edwards,1/25/1994,75,280,Florida State,2,97
00-0019706,F.Robbins,Fred Robbins,3/26/1977,76,322,Wake Forest,12,
00-0019700,C.Griffin,Cornelius Griffin,12/3/1976,76,303,Alabama,10,
00-0019702,C.Clifton,Chad Clifton,6/26/1976,77,320,Tennessee,12,
00-0012023,J.Nesbit,Jamar Nesbit,12/17/1976,76,328,South Carolina,11,
00-0019709,C.Redman,Chris Redman,7/7/1977,75,225,Louisville,10,
00-0032969,,Nick Martin,4/29/1993,76,299,Notre Dame,0,66
00-0028322,De.Washington,Demond Washington,9/30/1987,69,182,Auburn,1,
00-0028323,T.McCarthy,Tom McCarthy,9/6/1988,78,252,Yale,1,
00-0028320,M.Hansen,Matt Hansen,9/10/1989,73,230,Rhode Island,2,
00-0028321,J.Paul,Josue Paul,11/14/1988,73,190,Central Connecticut State,1,
00-0028326,R.McMahon,Ryan McMahon,5/11/1988,77,284,Florida State,1,
00-0028455,N.Grigsby,Nic Grigsby,12/26/1988,71,199,Arizona,0,
00-0028456,P.Livas,Phillip Livas,4/24/1989,67,179,Louisiana Tech,1,
00-0028325,K.McIlwain,Kamaal McIlwain,3/9/1988,70,175,Newberry,1,41
00-0028458,Q.Spears,Quinton Spears,5/11/1988,76,230,Prairie View A&M,2,0
00-0028459,T.Atchison,Tim Atchison,9/27/1987,73,200,Baylor,1,
00-0029493,R.Quigley,Ryan Quigley,1/26/1990,75,188,Boston College,3,4
00-0029492,J.Olawale,Jamize Olawale,4/17/1989,73,240,North Texas,4,49
00-0029491,B.Bass,Ben Bass,10/12/1989,77,294,Texas A&M,3,0
00-0029322,J.Fanor,Jean Fanor,6/17/1989,72,205,Bethune-Cookman,1,20
00-0029324,T.Hartman,Tysyn Hartman,8/9/1989,75,206,Kansas State,2,
00-0029495,M.Blanchard,Matt Blanchard,3/21/1989,75,223,Wis.-Whitewater,2,6
00-0029494,Jo.Anderson,Joe Anderson,11/21/1988,73,196,Texas Southern,1,
00-0029329,N.Thorpe,Neiko Thorpe,2/1/1990,73,200,Auburn,4,31
00-0024815,T.Brackenridge,Tyron Brackenridge,6/30/1984,71,189,Washington State,4,
00-0029499,B.Venson,Brandon Venson,2/17/1988,75,245,Illinois State,1,
00-0024810,C.Louis,Cliff Louis,8/24/1984,80,315,Morgan State,5,
00-0024812,T.Palko,Tyler Palko,8/9/1983,73,215,Pittsburgh,5,
00-0024813,P.Thomas,Pierre Thomas,12/18/1984,71,215,Illinois,9,39
00-0025497,J.Bowie,John Bowie,5/11/1984,71,190,Cincinnati,4,
00-0025496,S.Nicholas,Stephen Nicholas,5/1/1983,75,236,South Florida,7,54
00-0025495,P.Soliai,Paul Soliai,12/30/1983,76,345,Utah,10,90
00-0025494,A.Pittman,Antonio Pittman,12/19/1985,71,195,Ohio State,3,
00-0025493,T.Jackson,Tanard Jackson,7/21/1985,72,193,Syracuse,5,36
00-0025492,A.J.Davis,A.J. Davis,5/29/1983,70,189,North Carolina State,2,
00-0025491,J.Moore,Jay Moore,8/16/1983,76,256,Nebraska,3,
00-0025490,I.Stanback,Isaiah Stanback,8/16/1984,74,228,Washington,4,
00-0006101,T.Gonzalez,Tony Gonzalez,2/27/1976,77,247,California,17,88
00-0025499,D.Sepulveda,Daniel Sepulveda,1/12/1984,75,230,Baylor,5,
00-0025498,D.Wright,Dwayne Wright,6/2/1983,71,228,Fresno State,4,
00-0029145,M.Smith,Michael Smith,8/9/1988,69,205,Utah State,3,36
00-0029144,T.Compton,Tom Compton,5/10/1989,77,308,South Dakota,4,76
00-0029147,D.Dunsmore,Drake Dunsmore,11/4/1988,75,235,Northwestern,1,
00-0029146,J.Sweezy,J.R. Sweezy,4/8/1989,77,298,North Carolina State,5,73
00-0029141,A.Morris,Alfred Morris,12/12/1988,70,222,Florida Atlantic,5,46
00-0029140,C.Rainey,Chris Rainey,3/2/1988,69,180,Florida,3,25
00-0029143,J.Bush,Josh Bush,3/5/1989,71,205,Wake Forest,4,20
00-0029142,W.Guy,Winston Guy,4/23/1990,73,220,Kentucky,4,27
00-0029149,R.Pollard,Royce Pollard,6/3/1989,73,175,Hawaii,1,
00-0029148,S.Brown,Sammy Brown,4/17/1990,74,254,Houston,2,57
00-0026672,R.Humber,Ramon Humber,8/10/1987,71,235,North Dakota State,8,53
00-0026670,A.Grady,Adrian Grady,11/21/1985,73,290,Louisville,1,
00-0026671,B.Harrison,Brandon Harrison,11/6/1986,69,197,Michigan,0,
00-0026677,D.Gerberry,Dan Gerberry,11/10/1985,75,302,Ball State,1,
00-0026674,J.Lacey,Jacob Lacey,5/28/1987,70,183,Oklahoma State,5,
00-0026675,D.Boldin,D.J. Boldin,6/20/1986,71,210,Wake Forest,1,
00-0026678,J.Gill,John Gill,10/28/1986,75,302,Northwestern,4,
00-0026679,S.Waters,Swayze Waters,5/18/1987,72,185,Alabama-Birmingham,1,6
00-0007213,S.Heiden,Steve Heiden,9/21/1976,77,270,South Dakota State,11,
00-0030499,J.Jones,Jarvis Jones,10/13/1989,75,248,Georgia,4,95
00-0026417,J.Nading,Jesse Nading,7/3/1985,77,257,Colorado State,5,
00-0026414,D.Jenkins,Darnell Jenkins,12/31/1982,70,191,Miami (Fla.),3,
00-0026413,R.Grice-Mullen,Ryan Grice-Mullen,9/12/1986,71,180,Hawaii,2,
00-0026410,E.Wheelwright,Ernie Wheelwright,7/10/1984,77,217,Minnesota,2,
00-0026411,L.Williams,Lorenzo Williams,10/23/1984,72,310,Missouri,2,
00-0030491,D.Stafford,Daimion Stafford,2/18/1991,73,218,Nebraska,4,39
00-0030490,M.Bowie,Michael Bowie,9/25/1991,77,320,Northeastern State (Okla.),3,61
00-0030493,C.Clement,Chase Clement,8/1/1989,77,265,LSU,,
00-0030495,T.Smith,Tommy Smith,11/19/1990,73,240,Boise State,,
00-0030497,,Marcus Lattimore,10/29/1991,71,221,South Carolina,2,38
00-0030496,L.Bell,Le'Veon Bell,2/18/1992,73,225,Michigan State,4,26
00-0027235,R.Ventrone,Ross Ventrone,9/27/1986,68,198,Villanova,4,35
00-0027237,D.Fletcher,Dane Fletcher,9/14/1986,74,245,Montana State,6,52
00-0027236,K.Love,Kyle Love,11/18/1986,73,315,Mississippi State,5,93
00-0027233,T.Johnson,Terrence Johnson,7/5/1986,69,195,California (PA),2,
00-0027232,S.Brown,Sergio Brown,5/22/1988,74,207,Notre Dame,6,38
00-0027239,D.Cromartie-Smith,Da'Mon Cromartie-Smith,2/19/1987,74,203,Texas-El Paso,2,35
00-0027169,R.Manalac,Ryan Manalac,10/20/1985,72,235,Cincinnati,2,
00-0009119,R.Kelly,Reggie Kelly,2/22/1977,76,257,Mississippi State,12,
00-0022771,E.Amano,Eugene Amano,3/1/1982,75,300,Southeast Missouri State,9,
00-0022770,D.Ward,Derrick Ward,8/30/1980,71,240,Ottawa (Kans.),8,
00-0022779,S.Andrews,Shawn Andrews,12/25/1982,76,330,Arkansas,7,
00-0022778,J.Vilma,Jonathan Vilma,4/16/1982,73,230,Miami (Fla.),10,51
00-0032979,,Scooby Wright,8/28/1994,72,240,Arizona,0,50
00-0031470,,Dayonne Nunley,12/10/1991,68,184,Miami (Ohio),0,37
00-0031471,,Rob Ruggiero,//,74,245,Bridgewater State,0,47
00-0031472,,Cameron Fuller,//,71,175,New Mexico State,0,40
00-0031474,,Delvin Breaux,10/25/1989,73,196,LSU,2,40
00-0032268,,Marcus Mariota,10/30/1993,76,222,Oregon,2,8
00-0032269,,Henry Anderson,8/3/1991,78,300,Stanford,2,96
00-0032261,,Malcom Brown,2/2/1994,74,320,Texas,2,90
00-0032262,,Landon Collins,1/10/1994,72,225,Alabama,2,21
00-0032263,,Jeremiah Poutasi,8/7/1994,77,335,Utah,2,73
00-0023429,R.Davis,Rashied Davis,7/24/1979,69,187,San Jose State,8,
00-0032267,,Kevin Short,3/23/1992,74,185,Fort Scott CC KS,1,32
00-0032760,,Josh Doctson,12/3/1992,74,206,Texas Christian,0,18
00-0031514,,Quan Bray,4/28/1993,70,186,Auburn,2,11
00-0031512,,Jermaine Whitehead,3/12/1993,71,195,Auburn,1,35
00-0031511,,DeAndrew White,10/16/1991,72,192,Alabama,2,18
00-0031510,,Dylan Thompson,10/25/1991,75,218,South Carolina,0,13
00-0031519,,Josh Mitchell,1/7/1993,71,161,Nebraska,0,0
00-0030131,A.Mulumba,Andy Mulumba,1/31/1990,75,260,Eastern Michigan,3,40
00-0021578,N.Clemons,Nic Clemons,2/3/1980,78,300,Georgia,3,
00-0021577,C.Clemons,Chris Clemons,10/30/1981,75,255,Georgia,12,91
00-0021570,K.Osgood,Kassim Osgood,5/20/1980,77,220,San Diego State,12,14
00-0028848,T.Horn,Tyler Horn,3/1/1989,76,305,Miami (Fla.),1,69
